Titulo,Artista,Vistas,Likes,Comentarios,Fecha,Tags,Oyentes,Generos
Charli XCX & Troye Sivan - 1999 [Official Video],Charli XCX,52117627,973263,36756,2018-10-11T16:58:16Z,"['#TroyeSivan', '#1999', '#Charli', '#InTheCity']",949188,"['electropop', 'dance-pop', 'synthwave']"
Mitski - Washing Machine Heart,Mitski,100721168,1708648,25764,2018-11-09T05:00:00Z,"['#WashingMachineHeart', '#BeTheCowboy']",1446760,"['indie', 'singer-songwriter', 'Love']"
Take Your Mask Off,"Tyler, the Creator",4256982,99353,4864,2024-10-28T10:03:22Z,[],337239,"['Hip-Hop', 'metal', 'indie']"
Sticky,"Tyler, the Creator",10714138,245546,8795,2024-10-28T10:02:16Z,[],335186,"['hip hop', 'experimental hip hop', 'Neo-Soul']"
"Good Luck, Babe!",Chappell Roan,60387438,660960,4293,2024-04-04T10:02:03Z,[],857860,"['synthpop', 'electropop', 'indie']"
"Billie Eilish, Khalid - lovely",Billie Eilish,2142079536,27501090,627758,2018-04-26T16:00:02Z,[],858593,"['edu e marco', 'pop', 'indie folk']"
"Kali Uchis - After The Storm ft. Tyler, The Creator, Bootsy Collins","Tyler, the Creator",169033649,2022101,26620,2018-01-25T16:00:01Z,[],320812,"['santigold', 'tyler the creator', '2024']"
The Neighbourhood - Sweater Weather (Official Video),The Neighbourhood,840730718,8551729,168868,2013-03-05T08:01:03Z,"['#SweaterWeather', '#AllIAmIsAMan', '#TooColdForYouHere', '#IndieMusic', '#Indie', '#TikTok', '#TikTokSongs', '#SweaterWeatherTikTok']",2208222,"['indie', 'alternative', 'chill']"
Lovers Rock,TV Girl,118501867,1210473,5026,2022-05-12T23:08:54Z,[],1477217,"['indie pop', 'pop', 'Neo-Psychedelia']"
Sabrina Carpenter - Taste (Official Video),Sabrina Carpenter,119127552,2774074,82481,2024-08-23T14:00:08Z,"['#Taste', '#ShortnSweet\n\nMusic']",515368,"['pop rock', 'pop', 'female vocalist']"
SZA - Snooze (Audio),SZA,242376471,795730,11632,2022-12-09T05:00:20Z,"['#Snooze', '#SOS', '#RnB']",1657372,"['pop', 'MySpotigramBot', 'psychedelic pop']"
Charli XCX & Troye Sivan - 1999 [Official Video],Charli XCX,52117627,973263,36756,2018-10-11T16:58:16Z,"['#TroyeSivan', '#1999', '#Charli', '#InTheCity']",807848,"['electropop', 'acid techno', 'bubblegum bass']"
Billie Eilish - Therefore I Am (Official Music Video),Billie Eilish,236125050,7223211,318878,2020-11-12T18:00:11Z,[],1138042,"['pop', 'pop rock', 'alternative dance']"
"Good Luck, Babe!",Chappell Roan,60387438,660960,4293,2024-04-04T10:02:03Z,[],780672,"['pop', 'Ballad', 'indie pop']"
Sailor Song,Gigi Perez,14477439,222551,1967,2024-09-23T23:12:05Z,[],446341,"['indie', 'Love', 'indie folk']"
Tyler The Creator - Yonkers,"Tyler, the Creator",150556367,1289951,167095,2011-02-10T19:54:13Z,[],301996,"['tyler the creator', '2024']"
